"filename", "language", "Solidity", "comment", "blank", "total"
"/Users/user/init/10k1day/1028/1200/IMedianizer.sol", "Solidity", 22, 19, 2, 43
"/Users/user/init/10k1day/1028/1200/IUniswapExchange.sol", "Solidity", 12, 10, 1, 23
"/Users/user/init/10k1day/1028/1200/IUniswapFactory.sol", "Solidity", 8, 5, 2, 15
"/Users/user/init/10k1day/1028/1200/IUniswapV2Factory.sol", "Solidity", 9, 6, 2, 17
"/Users/user/init/10k1day/1028/1200/IUniswapV2Pair.sol", "Solidity", 29, 26, 2, 57
"/Users/user/init/10k1day/1028/1200/IUniswapV2Router01.sol", "Solidity", 22, 19, 2, 43
"/Users/user/init/10k1day/1028/1200/Masset.sol", "Solidity", 11, 8, 2, 21
"/Users/user/init/10k1day/1028/1200/StakingRewardsWithPlatformToken.sol", "Solidity", 12, 9, 2, 23
"/Users/user/init/10k1day/1028/1300/AbiDecode.sol", "Solidity", 14, 3, 5, 22
"/Users/user/init/10k1day/1028/1300/BiDirectionalPaymentChannel.sol", "Solidity", 81, 10, 16, 107
"/Users/user/init/10k1day/1028/1300/Bitwise.sol", "Solidity", 46, 12, 9, 67
"/Users/user/init/10k1day/1028/1300/IDss.sol", "Solidity", 172, 138, 6, 316
"/Users/user/init/10k1day/1028/1400/CPAMM.sol", "Solidity", 151, 16, 26, 193
"/Users/user/init/10k1day/1028/1400/CSAMM.sol", "Solidity", 83, 16, 14, 113
"/Users/user/init/10k1day/1028/1400/CrowFund.sol", "Solidity", 122, 18, 17, 157
"/Users/user/init/10k1day/1028/1400/DutchAuction.sol", "Solidity", 39, 6, 10, 55
"/Users/user/init/10k1day/1028/1400/EnglishAuction.sol", "Solidity", 59, 12, 14, 85
"/Users/user/init/10k1day/1028/1400/MultiDelegatecall.sol", "Solidity", 20, 3, 5, 28
"/Users/user/init/10k1day/1028/1400/Signature.sol", "Solidity", 38, 9, 2, 49
"/Users/user/init/10k1day/1028/1400/UniDirectionalPaymentChannel.sol", "Solidity", 42, 11, 15, 68
"/Users/user/init/10k1day/1028/1500/ERC721.sol", "Solidity", 64, 30, 12, 106
"/Users/user/init/10k1day/1028/1500/Interface.sol", "Solidity", 31, 18, 7, 56
"/Users/user/init/10k1day/1028/1500/IterableMapping.sol", "Solidity", 44, 12, 12, 68
"/Users/user/init/10k1day/1028/1500/Keccak256.sol", "Solidity", 18, 7, 3, 28
"/Users/user/init/10k1day/1028/1500/Library.sol", "Solidity", 30, 8, 6, 44
"/Users/user/init/10k1day/1028/1500/Mapping.sol", "Solidity", 25, 10, 5, 40
"/Users/user/init/10k1day/1028/1500/MarkleTree.sol", "Solidity", 24, 3, 5, 32
"/Users/user/init/10k1day/1028/1500/NewContract.sol", "Solidity", 35, 8, 6, 49
"/Users/user/init/10k1day/1028/1500/Payable.sol", "Solidity", 14, 8, 6, 28
"/Users/user/init/10k1day/1028/1500/Proxy.sol", "Solidity", 23, 6, 3, 32
"/Users/user/init/10k1day/1028/1500/SendingEther.sol", "Solidity", 22, 9, 4, 35
"/Users/user/init/10k1day/1028/1600/StakingReward.sol", "Solidity", 129, 22, 17, 168
"Total", "-", 1451, 497, 240, 2188
