Date : 2022-10-29 10:32:40
Directory : /Users/user/init/10k1day/202210/1021-1031/1028
Total : 132 files,  1602 codes, 1012 comments, 46 blanks, all 2660 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Solidity |        131 |      1,586 |      1,012 |         46 |      2,644 |
| Markdown |          1 |         16 |          0 |          0 |         16 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                       |        132 |      1,602 |      1,012 |         46 |      2,660 |
| ..                                                                                      |         43 |     -2,050 |        -43 |       -547 |     -2,640 |
| ../1025                                                                                 |         43 |     -2,050 |        -43 |       -547 |     -2,640 |
| ../1025/1000                                                                            |          2 |        -54 |         -8 |        -14 |        -76 |
| ../1025/1100                                                                            |          5 |       -232 |          0 |        -60 |       -292 |
| ../1025/1200                                                                            |          7 |       -246 |          0 |        -66 |       -312 |
| ../1025/1300                                                                            |          7 |       -357 |          0 |        -91 |       -448 |
| ../1025/1400                                                                            |          4 |       -221 |          0 |        -67 |       -288 |
| ../1025/1500                                                                            |          3 |       -131 |          0 |        -36 |       -167 |
| ../1025/1600                                                                            |          2 |       -118 |          0 |        -41 |       -159 |
| ../1025/1700                                                                            |          2 |       -161 |          0 |        -39 |       -200 |
| ../1025/1800                                                                            |          3 |       -301 |         -8 |        -61 |       -370 |
| ../1025/1900                                                                            |          1 |        -20 |          0 |        -10 |        -30 |
| ../1025/2000                                                                            |          1 |        -38 |        -17 |        -12 |        -67 |
| ../1025/2100                                                                            |          1 |        -12 |         -8 |         -6 |        -26 |
| ../1025/2200                                                                            |          1 |        -15 |         -1 |         -1 |        -17 |
| ../1025/2300                                                                            |          1 |          0 |          0 |         -1 |         -1 |
| ../1025/900                                                                             |          3 |       -144 |         -1 |        -42 |       -187 |
| 1000                                                                                    |          2 |         25 |         22 |          3 |         50 |
| 1100                                                                                    |         12 |        244 |        168 |         26 |        438 |
| 1200                                                                                    |         10 |        183 |        156 |         20 |        359 |
| 1300                                                                                    |          5 |        313 |        163 |         37 |        513 |
| 1400                                                                                    |          9 |        554 |         91 |        104 |        749 |
| 1500                                                                                    |         12 |        330 |        119 |         70 |        519 |
| 1600                                                                                    |          6 |        537 |         99 |         78 |        714 |
| 1700                                                                                    |          7 |        347 |         74 |         81 |        502 |
| 1800                                                                                    |          5 |        319 |         56 |         53 |        428 |
| 1900                                                                                    |          6 |        359 |         42 |         51 |        452 |
| 2000                                                                                    |          4 |        224 |         30 |         24 |        278 |
| 2100                                                                                    |          2 |         57 |         14 |          9 |         80 |
| 2200                                                                                    |          3 |        126 |         21 |         23 |        170 |
| 2300                                                                                    |          1 |          0 |          0 |          1 |          1 |
| 800                                                                                     |          2 |          6 |          0 |          5 |         11 |
| 900                                                                                     |          2 |         12 |          0 |          8 |         20 |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/user/init/10k1day/202210/1021-1031/1025/1000/StableSwap.sol                      | Solidity |        -40 |         -1 |        -10 |        -51 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1000/swap.sol                            | Solidity |        -14 |         -7 |         -4 |        -25 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1100/Chainlink.sol                       | Solidity |        -43 |          0 |        -11 |        -54 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1100/CrowdFound.sol                      | Solidity |        -92 |          0 |        -23 |       -115 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1100/DutchAuction.sol                    | Solidity |        -46 |          0 |         -9 |        -55 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1100/EnglishAuction.sol                  | Solidity |        -15 |          0 |         -6 |        -21 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1100/Proxy.sol                           | Solidity |        -36 |          0 |        -11 |        -47 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1200/Bitwise.sol                         | Solidity |        -27 |          0 |        -11 |        -38 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1200/CSAMM.sol                           | Solidity |        -68 |          0 |        -10 |        -78 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1200/ContractSize.sol                    | Solidity |        -31 |          0 |         -7 |        -38 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1200/ExternalContract.sol                | Solidity |        -20 |          0 |         -8 |        -28 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1200/HoneyPot.sol                        | Solidity |        -46 |          0 |        -14 |        -60 |
