Date : 2022-10-30 14:38:43
Directory : /Users/user/init/10k1day/202210/1021-1031
Total : 425 files,  9892 codes, 2672 comments, 1920 blanks, all 14484 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Solidity   |        410 |      9,321 |      2,144 |      1,906 |     13,371 |
| JavaScript |         10 |        523 |        528 |         13 |      1,064 |
| Markdown   |          5 |         48 |          0 |          1 |         49 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                       |        425 |      9,892 |      2,672 |      1,920 |     14,484 |
| ..                                                                                      |         88 |     -2,807 |       -706 |       -557 |     -4,070 |
| ../..                                                                                   |         88 |     -2,807 |       -706 |       -557 |     -4,070 |
| ../../1029                                                                              |         88 |     -2,807 |       -706 |       -557 |     -4,070 |
| ../../1029/1000                                                                         |          2 |        -14 |        -14 |        -10 |        -38 |
| ../../1029/1100                                                                         |          8 |       -324 |        -45 |        -83 |       -452 |
| ../../1029/1200                                                                         |         14 |       -238 |       -124 |        -48 |       -410 |
| ../../1029/1300                                                                         |         10 |       -182 |        -95 |        -49 |       -326 |
| ../../1029/1400                                                                         |          9 |       -309 |        -86 |        -29 |       -424 |
| ../../1029/1500                                                                         |          6 |       -394 |        -67 |        -77 |       -538 |
| ../../1029/1600                                                                         |         12 |       -378 |        -96 |        -79 |       -553 |
| ../../1029/1700                                                                         |          6 |       -214 |        -43 |        -34 |       -291 |
| ../../1029/1800                                                                         |          7 |       -487 |        -83 |        -81 |       -651 |
| ../../1029/1900                                                                         |          6 |       -237 |        -39 |        -52 |       -328 |
| ../../1029/2000                                                                         |          1 |          0 |          0 |         -1 |         -1 |
| ../../1029/2100                                                                         |          1 |          0 |          0 |         -1 |         -1 |
| ../../1029/2200                                                                         |          1 |          0 |          0 |         -1 |         -1 |
| ../../1029/2300                                                                         |          1 |          0 |          0 |         -1 |         -1 |
| ../../1029/800                                                                          |          1 |          0 |          0 |         -1 |         -1 |
| ../../1029/900                                                                          |          2 |        -14 |        -14 |        -10 |        -38 |
| 1021                                                                                    |          4 |        217 |        207 |          6 |        430 |
| 1022                                                                                    |          4 |        143 |        175 |          5 |        323 |
| 1023                                                                                    |          4 |        106 |         99 |          3 |        208 |
| 1024                                                                                    |          5 |        233 |        225 |          5 |        463 |
| 1025                                                                                    |         43 |      2,050 |         43 |        547 |      2,640 |
| 1025/1000                                                                               |          2 |         54 |          8 |         14 |         76 |
| 1025/1100                                                                               |          5 |        232 |          0 |         60 |        292 |
| 1025/1200                                                                               |          7 |        246 |          0 |         66 |        312 |
| 1025/1300                                                                               |          7 |        357 |          0 |         91 |        448 |
| 1025/1400                                                                               |          4 |        221 |          0 |         67 |        288 |
| 1025/1500                                                                               |          3 |        131 |          0 |         36 |        167 |
| 1025/1600                                                                               |          2 |        118 |          0 |         41 |        159 |
| 1025/1700                                                                               |          2 |        161 |          0 |         39 |        200 |
| 1025/1800                                                                               |          3 |        301 |          8 |         61 |        370 |
| 1025/1900                                                                               |          1 |         20 |          0 |         10 |         30 |
