Date : 2023-01-16 17:26:56
Directory : /Users/user/init/1day10k/2022/202301/0109-0116/0114
Total : 51 files,  -1492 codes, -20 comments, -266 blanks, all -1778 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |          8 |          0 |          0 |          0 |          0 |
| JSON               |          4 |          0 |          0 |          0 |          0 |
| Markdown           |          2 |          0 |          0 |          0 |          0 |
| JSON with Comments |          2 |          0 |          0 |          0 |          0 |
| TypeScript React   |          6 |          0 |          0 |          0 |          0 |
| XML                |          6 |          0 |          0 |          0 |          0 |
| TypeScript         |          2 |          0 |          0 |          0 |          0 |
| CSS                |          4 |          0 |          0 |          0 |          0 |
| JavaScript React   |          7 |       -368 |        -34 |        -80 |       -482 |
| Solidity           |         10 |     -1,124 |         14 |       -186 |     -1,296 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                   |         51 |     -1,492 |        -20 |       -266 |     -1,778 |
| . (Files)                                                                           |          4 |      2,940 |        592 |        732 |      4,264 |
| ..                                                                                  |         26 |     -6,253 |       -667 |     -1,222 |     -8,142 |
| ../0115                                                                             |         26 |     -6,253 |       -667 |     -1,222 |     -8,142 |
| ../0115 (Files)                                                                     |          5 |     -3,814 |       -557 |       -850 |     -5,221 |
| ../0115/api                                                                         |          2 |          0 |          0 |         -2 |         -2 |
| ../0115/next-app                                                                    |         14 |     -1,271 |         -7 |        -88 |     -1,366 |
| ../0115/next-app (Files)                                                            |          5 |       -795 |         -1 |        -21 |       -817 |
| ../0115/next-app/pages                                                              |          4 |       -143 |         -1 |        -15 |       -159 |
| ../0115/next-app/pages (Files)                                                      |          3 |       -133 |          0 |        -12 |       -145 |
| ../0115/next-app/pages/api                                                          |          1 |        -10 |         -1 |         -3 |        -14 |
| ../0115/next-app/public                                                             |          3 |         -3 |          0 |          0 |         -3 |
| ../0115/next-app/styles                                                             |          2 |       -330 |         -5 |        -52 |       -387 |
| ../0115/orm                                                                         |          2 |          0 |          0 |         -2 |         -2 |
| ../0115/view                                                                        |          3 |     -1,168 |       -103 |       -280 |     -1,551 |
| api                                                                                 |          2 |          0 |          0 |          2 |          2 |
| next-app                                                                            |         14 |      1,271 |          7 |         88 |      1,366 |
| next-app (Files)                                                                    |          5 |        795 |          1 |         21 |        817 |
| next-app/pages                                                                      |          4 |        143 |          1 |         15 |        159 |
| next-app/pages (Files)                                                              |          3 |        133 |          0 |         12 |        145 |
| next-app/pages/api                                                                  |          1 |         10 |          1 |          3 |         14 |
| next-app/public                                                                     |          3 |          3 |          0 |          0 |          3 |
| next-app/styles                                                                     |          2 |        330 |          5 |         52 |        387 |
| orm                                                                                 |          2 |          0 |          0 |          2 |          2 |
| view                                                                                |          3 |        550 |         48 |        132 |        730 |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                            | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/api/doc.sol                     | Solidity           |          0 |          0 |          1 |          1 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/api/exam.sol                    | Solidity           |          0 |          0 |          1 |          1 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/ethers.js                       | JavaScript         |          0 |          0 |          1 |          1 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/example.sol                     | Solidity           |      1,378 |        269 |        386 |      2,033 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/next-app/README.md              | Markdown           |         21 |          0 |         16 |         37 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/next-app/next.config.js         | JavaScript         |          4 |          1 |          2 |          7 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/next-app/package-lock.json      | JSON               |        729 |          0 |          1 |        730 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/next-app/package.json           | JSON               |         21 |          0 |          1 |         22 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/next-app/pages/_app.tsx         | TypeScript React   |          5 |          0 |          2 |          7 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/next-app/pages/_document.tsx    | TypeScript React   |         12 |          0 |          2 |         14 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/next-app/pages/api/hello.ts     | TypeScript         |         10 |          1 |          3 |         14 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/next-app/pages/index.tsx        | TypeScript React   |        116 |          0 |          8 |        124 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/next-app/public/next.svg        | XML                |          1 |          0 |          0 |          1 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/next-app/public/thirteen.svg    | XML                |          1 |          0 |          0 |          1 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/next-app/public/vercel.svg      | XML                |          1 |          0 |          0 |          1 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/next-app/styles/Home.module.css | CSS                |        236 |          5 |         38 |        279 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/next-app/styles/globals.css     | CSS                |         94 |          0 |         14 |        108 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/next-app/tsconfig.json          | JSON with Comments |         20 |          0 |          1 |         21 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/next.jsx                        | JavaScript React   |        250 |         21 |         68 |        339 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/orm/ethers.js                   | JavaScript         |          0 |          0 |          1 |          1 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/orm/metamsk.js                  | JavaScript         |          0 |          0 |          1 |          1 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/solDoc.sol                      | Solidity           |      1,312 |        302 |        277 |      1,891 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/view/next.jsx                   | JavaScript React   |          0 |          0 |          1 |          1 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/view/react.jsx                  | JavaScript React   |         97 |         16 |         25 |        138 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/view/recoil.jsx                 | JavaScript React   |        453 |         32 |        106 |        591 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/api/doc.sol                     | Solidity           |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/api/exam.sol                    | Solidity           |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/doc.sol                         | Solidity           |     -1,200 |       -286 |       -257 |     -1,743 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/doc2.sol                        | Solidity           |       -993 |       -184 |       -207 |     -1,384 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/ethers.js                       | JavaScript         |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/exam.sol                        | Solidity           |       -573 |        -41 |       -147 |       -761 |
